(41.02,-73.69)
(47.4,8.4)
(40.90,-73.81)
(27.95,-81.78)
(40.3,-77.0)
(39.33,-76.91)
(49.80,9.92)
(50.1,8.6)
(35.80,-86.69)
(41.41,-74.18)
(39.90,-75.65)
(39.42,-77.49)
(49.5,11.0)
(51.27,0.41)
(52.66,1.27)
(40.80,-76.88)
(51.8,1.3)
(42.35,-83.51)
(41.43,-70.93)
(34.96,-85.35)
(49.3,11.0)
(52.51,1.42)
(52.38,5.26)
(51.17,0.87)
(42.99,-78.89)
(48.1,11.5)
(52.00,5.95)
(39.98,-86.35)
(32.74,-97.40)
(33.3,-84.8)
(40.22,-74.64)
(35.8,-78.9)
(40.50,-88.92)
(50.83,-0.15)
(52.99,-0.41)
(40.90,-74.50)
(39.07,-77.19)
(39.31,-76.82)
(33.08,-96.76)
(41.1,-85.2)
(38.0,-87.5)
(33.1,-97.0)
(39.57,-75.80)
(50.9,6.8)
(43.6,-79.6)
(52.3,10.8)
(49.78,13.36)
(52.37,-0.67)
(52.5,-0.9)
(33.0,-97.4)
(49.3,6.8)
(42.4,-83.5)
(40.57,-81.08)
(36.0,-79.5)
(52.2,4.5)
(42.8,-71.9)
(38.61,-87.72)
(51.58,-1.13)
(51.59,4.80)
(34.0,-84.6)
(40.9,-89.9)
(33.15,-96.76)
(43.6,-79.8)
(38.11,-77.92)
(52.4,9.9)
(38.7,-77.4)
(43.64,-79.39)
(48.9,12.6)
(40.4,-75.4)
(43.1,-89.5)
(37.98,-85.66)
(43.6,-79.8)
(40.08,-74.14)
(41.42,-83.09)
(42.11,-92.78)
(51.5,5.4)
(43.8,-87.8)
(39.03,-76.67)
(51.61,-0.42)
(40.2,-79.5)
(53.2,5.7)
(47.4,8.7)
(51.07,4.24)
(40.83,-74.54)
(38.66,-90.64)
(42.48,-83.47)
(39.1,-75.5)
(51.0,4.7)
(50.81,-0.39)
(35.94,-79.01)
(35.9,-79.2)
(42.1,-87.9)
(43.8,-79.7)
(51.6,-0.7)
(53.08,6.57)
(32.99,-96.84)
(37.58,-84.77)
(40.80,-76.88)
(38.8,-94.3)
(51.5,5.6)
(48.06,11.62)
(40.1,-76.4)
(41.2,-73.2)
(37.8,-109.5)
(50.84,-1.06)
(49.27,14.74)
(52.3,8.0)
(40.88,-73.25)
(38.7,-93.2)
(41.0,-74.0)
(52.96,-2.10)
(43.00,-88.23)
(53.2,-0.9)
(49.83,12.58)
(41.9,-88.1)
(40.89,-73.05)
(40.87,-74.03)
(42.19,-87.93)
(51.86,0.14)
(49.41,11.17)
(51.15,6.36)
(32.8,-97.5)
(50.31,8.26)
(40.15,-74.25)
(49.8,13.4)
(47.57,7.52)
(49.6,6.2)
(51.3,-0.6)
(38.8,-77.5)
(43.34,-79.91)
(40.73,-73.79)
(52.1,6.2)
(40.9,-73.0)
(39.36,-76.84)
(34.7,-86.7)
(51.5,5.4)
(36.86,-94.98)
(49.0,9.3)
(48.3,12.2)
(52.40,4.91)
(48.3,12.2)
(52.6,1.1)
(49.8,13.4)
(38.3,-75.5)
(52.8,0.2)
(53.04,8.65)
(32.75,-96.29)
(40.12,-74.97)
(41.47,-87.62)
(39.26,-85.90)
(48.7,2.1)
(42.8,-84.6)
(52.3,-0.0)
(33.06,-96.78)
(49.89,6.66)
(51.3,3.3)
(52.24,10.51)
(40.70,-73.33)
(33.07,-97.36)
(38.70,-90.39)
(42.05,-87.89)
(40.92,-73.75)
(47.52,9.44)
(42.6,-83.4)
(52.6,8.1)
(37.8,-76.8)
(52.33,10.56)
(51.54,-1.89)
(50.84,-1.06)
(39.1,-76.9)
(39.68,-75.92)
(52.02,-0.81)
(40.31,-80.09)
(41.1,-81.8)
(39.24,-77.32)
(50.92,6.10)
(52.0,5.6)
(38.7,-77.5)
(48.4,10.3)
(33.60,-111.95)
(52.1,-0.4)
(43.0,-88.5)
(51.67,3.63)
(50.34,13.96)
(38.63,-90.19)
(53.23,6.57)
(52.38,4.66)
(42.8,-83.7)
(41.5,-75.4)
(49.8,13.4)
(40.7,-74.0)
(51.2,3.3)
(51.31,-0.62)
(51.61,-1.81)
(32.92,-97.29)
(49.5,13.1)
(39.49,-74.43)
(38.17,-77.57)
(34.8,-87.0)
(39.4,-78.1)
(52.19,5.95)
(47.4,8.5)
(48.64,9.01)
(40.63,-74.04)
(35.8,-79.3)
(39.99,-86.60)
(36.1,-79.8)
(39.0,-77.5)
(50.40,7.51)
(52.00,-0.27)
(40.26,-74.88)
(49.8,8.6)
(50.40,7.51)
(41.6,-88.4)
(43.9,-81.3)
(52.53,13.46)
(49.3,14.2)
(49.3,11.0)
(52.06,4.28)
(38.84,-90.73)
(51.46,-1.05)
(51.12,-1.33)
(48.4,12.1)
(40.69,-73.98)
(41.18,-73.25)
(52.45,-1.84)
(51.5,12.5)
(39.1,-77.7)
(34.8,-82.1)
(40.70,-73.91)
(32.97,-96.72)
(42.08,-91.62)
(38.9,-94.7)
(49.5,8.2)
(41.57,-83.60)
(41.40,-81.79)
